"","Response","family","link","method","Marginal","Conditional","date_2"
"242","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.59,0.94,2020-05-04
"243","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.55,0.98,2020-05-04
"244","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.25,0.97,2020-05-04
"245","log.new_cases.per1M","gaussian","identity","none",0.9,0.91,2020-05-05
"246","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.61,0.95,2020-05-05
"247","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.56,0.98,2020-05-05
"248","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.27,0.97,2020-05-05
"249","log.new_cases.per1M","gaussian","identity","none",0.9,0.9,2020-05-06
"250","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.95,2020-05-06
"251","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.55,0.98,2020-05-06
"252","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.26,0.97,2020-05-06
"253","log.new_cases.per1M","gaussian","identity","none",0.9,0.9,2020-05-07
"254","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.95,2020-05-07
"255","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.57,0.98,2020-05-07
"256","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.26,0.97,2020-05-07
"257","log.new_cases.per1M","gaussian","identity","none",0.9,0.9,2020-05-08
"258","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.94,2020-05-08
"259","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.62,0.98,2020-05-08
"260","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.26,0.97,2020-05-08
"261","log.new_cases.per1M","gaussian","identity","none",0.9,0.9,2020-05-09
"262","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.94,2020-05-09
"263","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.63,0.98,2020-05-09
"264","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.26,0.97,2020-05-09
"265","log.new_cases.per1M","gaussian","identity","none",0.9,0.9,2020-05-10
"266","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.94,2020-05-10
"267","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.65,0.98,2020-05-10
"268","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.26,0.97,2020-05-10
"269","log.new_cases.per1M","gaussian","identity","none",0.89,0.89,2020-05-11
"270","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.63,0.95,2020-05-11
"271","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.63,0.98,2020-05-11
"272","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.27,0.97,2020-05-11
"273","log.new_cases.per1M","gaussian","identity","none",0.89,0.89,2020-05-12
"274","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.64,0.95,2020-05-12
"275","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.64,0.98,2020-05-12
"276","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.26,0.97,2020-05-12
"277","log.new_cases.per1M","gaussian","identity","none",0.89,0.89,2020-05-13
"278","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.64,0.95,2020-05-13
"279","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.65,0.98,2020-05-13
"280","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.26,0.97,2020-05-13
"281","log.new_cases.per1M","gaussian","identity","none",0.88,0.89,2020-05-14
"282","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.63,0.95,2020-05-14
"283","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.66,0.98,2020-05-14
"284","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.31,0.96,2020-05-14
"285","log.new_cases.per1M","gaussian","identity","none",0.88,0.88,2020-05-15
"286","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.95,2020-05-15
"287","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.67,0.98,2020-05-15
"288","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.33,0.96,2020-05-15
"289","log.new_cases.per1M","gaussian","identity","none",0.88,0.88,2020-05-16
"290","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.95,2020-05-16
"291","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.7,0.98,2020-05-16
"292","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.36,0.95,2020-05-16
"293","log.new_cases.per1M","gaussian","identity","none",0.88,0.88,2020-05-17
"294","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.95,2020-05-17
"295","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.77,0.98,2020-05-17
"296","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.34,0.95,2020-05-17
"297","log.new_cases.per1M","gaussian","identity","none",0.88,0.88,2020-05-18
"298","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.94,2020-05-18
"299","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.97,2020-05-18
"300","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.33,0.96,2020-05-18
"301","log.new_cases.per1M","gaussian","identity","none",0.87,0.87,2020-05-19
"302","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.94,2020-05-19
"303","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.97,2020-05-19
"304","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.33,0.96,2020-05-19
"305","log.new_cases.per1M","gaussian","identity","none",0.87,0.87,2020-05-20
"306","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.95,2020-05-20
"307","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.97,2020-05-20
"308","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.34,0.95,2020-05-20
"309","log.new_cases.per1M","gaussian","identity","none",0.87,0.87,2020-05-21
"310","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.95,2020-05-21
"311","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.97,2020-05-21
"312","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.35,0.95,2020-05-21
"313","log.new_cases.per1M","gaussian","identity","none",0.87,0.87,2020-05-22
"314","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.95,2020-05-22
"315","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.97,2020-05-22
"316","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.37,0.95,2020-05-22
"317","log.new_cases.per1M","gaussian","identity","none",0.86,0.86,2020-05-23
"318","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.7,0.94,2020-05-23
"319","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.97,2020-05-23
"320","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.46,0.94,2020-05-23
"321","log.new_cases.per1M","gaussian","identity","none",0.86,0.86,2020-05-24
"322","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.94,2020-05-24
"323","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.97,2020-05-24
"324","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.84,0.89,2020-05-24
"325","log.new_cases.per1M","gaussian","identity","none",0.85,0.86,2020-05-25
"326","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.94,2020-05-25
"327","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.97,2020-05-25
"328","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.85,0.89,2020-05-25
"329","log.new_cases.per1M","gaussian","identity","none",0.85,0.85,2020-05-26
"330","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.68,0.94,2020-05-26
"331","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.97,2020-05-26
"332","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.85,0.89,2020-05-26
"333","log.new_cases.per1M","gaussian","identity","none",0.85,0.85,2020-05-27
"334","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.68,0.94,2020-05-27
"335","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.97,2020-05-27
"336","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.85,0.89,2020-05-27
"337","log.new_cases.per1M","gaussian","identity","none",0.85,0.85,2020-05-28
"338","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.94,2020-05-28
"339","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.97,2020-05-28
"340","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.85,0.89,2020-05-28
"341","log.new_cases.per1M","gaussian","identity","none",0.84,0.85,2020-05-29
"342","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.71,0.94,2020-05-29
"343","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.97,2020-05-29
"344","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.85,0.89,2020-05-29
"345","log.new_cases.per1M","gaussian","identity","none",0.84,0.84,2020-05-30
"346","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.94,2020-05-30
"347","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.97,2020-05-30
"348","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.85,0.89,2020-05-30
"349","log.new_cases.per1M","gaussian","identity","none",0.84,0.84,2020-05-31
"350","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.94,2020-05-31
"351","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.97,2020-05-31
"352","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.85,0.89,2020-05-31
"353","log.new_cases.per1M","gaussian","identity","none",0.84,0.84,2020-06-01
"354","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.93,2020-06-01
"355","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.97,2020-06-01
"356","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.84,0.89,2020-06-01
"357","log.new_cases.per1M","gaussian","identity","none",0.83,0.84,2020-06-02
"358","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.93,2020-06-02
"359","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.97,2020-06-02
"360","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.84,0.89,2020-06-02
"361","log.new_cases.per1M","gaussian","identity","none",0.83,0.84,2020-06-03
"362","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.64,0.93,2020-06-03
"363","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.97,2020-06-03
"364","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.84,0.88,2020-06-03
"365","log.new_cases.per1M","gaussian","identity","none",0.83,0.84,2020-06-04
"366","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.94,2020-06-04
"367","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.97,2020-06-04
"368","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.84,0.88,2020-06-04
"369","log.new_cases.per1M","gaussian","identity","none",0.83,0.83,2020-06-05
"370","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.93,2020-06-05
"371","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.96,2020-06-05
"372","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.84,0.88,2020-06-05
"373","log.new_cases.per1M","gaussian","identity","none",0.83,0.83,2020-06-06
"374","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.93,2020-06-06
"375","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.96,2020-06-06
"376","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.83,0.88,2020-06-06
"377","log.new_cases.per1M","gaussian","identity","none",0.83,0.83,2020-06-07
"378","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.7,0.93,2020-06-07
"379","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.96,2020-06-07
"380","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.83,0.88,2020-06-07
"381","log.new_cases.per1M","gaussian","identity","none",0.82,0.83,2020-06-08
"382","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.93,2020-06-08
"383","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.96,2020-06-08
"384","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.83,0.88,2020-06-08
"385","log.new_cases.per1M","gaussian","identity","none",0.82,0.83,2020-06-09
"386","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.68,0.93,2020-06-09
"387","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.96,2020-06-09
"388","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.83,0.88,2020-06-09
"389","log.new_cases.per1M","gaussian","identity","none",0.81,0.82,2020-06-10
"390","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.68,0.93,2020-06-10
"391","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.96,2020-06-10
"392","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.83,0.87,2020-06-10
"393","log.new_cases.per1M","gaussian","identity","none",0.81,0.82,2020-06-11
"394","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.71,0.92,2020-06-11
"395","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.96,2020-06-11
"396","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.8,0.86,2020-06-11
"397","log.new_cases.per1M","gaussian","identity","none",0.8,0.81,2020-06-12
"398","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.68,0.92,2020-06-12
"399","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.91,0.96,2020-06-12
"400","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.8,0.86,2020-06-12
"401","log.new_cases.per1M","gaussian","identity","none",0.8,0.81,2020-06-13
"402","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.68,0.92,2020-06-13
"403","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.91,0.96,2020-06-13
"404","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.8,0.86,2020-06-13
"405","log.new_cases.per1M","gaussian","identity","none",0.8,0.81,2020-06-14
"406","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.68,0.92,2020-06-14
"407","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.91,0.96,2020-06-14
"408","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.8,0.85,2020-06-14
"409","log.new_cases.per1M","gaussian","identity","none",0.79,0.81,2020-06-15
"410","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.68,0.92,2020-06-15
"411","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.91,0.96,2020-06-15
"412","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.8,0.85,2020-06-15
"413","log.new_cases.per1M","gaussian","identity","none",0.79,0.81,2020-06-16
"414","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.92,2020-06-16
"415","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.9,0.96,2020-06-16
"416","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.79,0.85,2020-06-16
"417","log.new_cases.per1M","gaussian","identity","none",0.79,0.81,2020-06-17
"418","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.68,0.92,2020-06-17
"419","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.97,2020-06-17
"420","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.79,0.85,2020-06-17
"421","log.new_cases.per1M","gaussian","identity","none",0.79,0.81,2020-06-18
"422","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.68,0.92,2020-06-18
"423","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.97,2020-06-18
"424","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.8,0.85,2020-06-18
"425","log.new_cases.per1M","gaussian","identity","none",0.79,0.81,2020-06-19
"426","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.68,0.92,2020-06-19
"427","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.97,2020-06-19
"428","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.8,0.84,2020-06-19
"429","log.new_cases.per1M","gaussian","identity","none",0.78,0.81,2020-06-20
"430","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.68,0.92,2020-06-20
"431","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.97,2020-06-20
"432","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.8,0.84,2020-06-20
"433","log.new_cases.per1M","gaussian","identity","none",0.78,0.81,2020-06-21
"434","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.68,0.92,2020-06-21
"435","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.97,2020-06-21
"436","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.8,0.85,2020-06-21
"437","log.new_cases.per1M","gaussian","identity","none",0.78,0.81,2020-06-22
"438","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.68,0.92,2020-06-22
"439","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.97,2020-06-22
"440","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.8,0.86,2020-06-22
"441","log.new_cases.per1M","gaussian","identity","none",0.77,0.81,2020-06-23
"442","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.92,2020-06-23
"443","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.96,2020-06-23
"444","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.7,0.89,2020-06-23
"445","log.new_cases.per1M","gaussian","identity","none",0.77,0.81,2020-06-24
"446","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.92,2020-06-24
"447","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.93,0.95,2020-06-24
"448","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.82,0.87,2020-06-24
"449","log.new_cases.per1M","gaussian","identity","none",0.77,0.81,2020-06-25
"450","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.92,2020-06-25
"451","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.95,2020-06-25
"452","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.82,0.87,2020-06-25
"453","log.new_cases.per1M","gaussian","identity","none",0.77,0.81,2020-06-26
"454","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.92,2020-06-26
"455","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.95,2020-06-26
"456","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.82,0.86,2020-06-26
"457","log.new_cases.per1M","gaussian","identity","none",0.76,0.8,2020-06-27
"458","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.92,2020-06-27
"459","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.95,2020-06-27
"460","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.82,0.86,2020-06-27
"461","log.new_cases.per1M","gaussian","identity","none",0.76,0.8,2020-06-28
"462","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.92,2020-06-28
"463","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.95,2020-06-28
"464","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.82,0.86,2020-06-28
"465","log.new_cases.per1M","gaussian","identity","none",0.75,0.8,2020-06-29
"466","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.92,2020-06-29
"467","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.95,2020-06-29
"468","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.82,0.86,2020-06-29
"469","log.new_cases.per1M","gaussian","identity","none",0.75,0.8,2020-06-30
"470","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.92,2020-06-30
"471","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.95,2020-06-30
"472","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.81,0.84,2020-06-30
"473","log.new_cases.per1M","gaussian","identity","none",0.75,0.79,2020-07-01
"474","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.92,2020-07-01
"475","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.95,2020-07-01
"476","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.79,0.83,2020-07-01
"477","log.new_cases.per1M","gaussian","identity","none",0.75,0.79,2020-07-02
"478","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.92,2020-07-02
"479","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.92,0.95,2020-07-02
"480","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.79,0.83,2020-07-02
"481","log.new_cases.per1M","gaussian","identity","none",0.75,0.79,2020-07-03
"482","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.92,2020-07-03
